DateTime,AddedIPs,RemovedIPs
1495528381,1,0
1495531982,1,1
1495539181,1,0
1495571581,1,3
1495575181,1,1
1495582381,0,1
1495585982,1,0
1495593181,1,0
1495596782,2,0
1495607581,0,1
1495614782,1,0
1495618381,1,0
1495621981,0,1
1495629181,0,1
1495654381,0,1
1495661581,0,2
1495665181,1,0
1495668781,10,0
1495686781,1,0
1495690381,0,1
1495697581,0,1
1495704781,1,0
1495711981,0,1
1495715582,0,1
1495722781,1,2
1495726381,2,2
1495737181,0,1
1495744381,1,0
1495751581,0,1
1495758781,1,3
1495769581,1,0
1495773181,1,0
1495780382,0,2
1495787581,1,2
1495794781,0,3
1495798381,4,0
1495805581,0,2
1495812781,1,0
1495816382,0,1
1495819981,0,3
1495823581,2,0
1495827181,1,0
1495830781,0,3
1495837981,2,0
1495866781,0,1
1495873981,1,0
1495877581,2,0
1495881181,1,0
1495888381,1,0
1495891981,1,0
1495906828,1,2
1495909982,0,2
1495927981,0,2
1495935181,1,1
1495942381,1,0
1495945981,1,0
1495956781,0,1
1495971181,1,0
1495974781,0,2
1495985581,1,0
1495992781,1,0
1495996381,0,3
1495999982,0,1
1496010781,1,1
1496014381,1,1
1496028781,0,2
1496032381,0,1
1496046781,0,3
1496050382,0,1
1496064781,0,1
1496079181,0,1
1496089981,2,0
1496093582,0,2
1496100781,1,0
1496104381,1,0
1496115181,0,1
1496133181,1,0
1496140382,0,2
1496147581,1,0
1496154781,0,7
1496158381,1,0
1496172781,1,0
1496183582,0,3
1496197981,0,2
1496205181,1,0
1496208781,0,2
1496219581,1,0
1496230381,0,2
1496233981,1,0
1496244781,1,0
1496259181,1,1
1496262781,0,1
1496273581,1,1
1496280781,1,0
1496284381,0,1
1496291581,1,0
1496295181,0,3
1496298781,1,0
1496305981,0,1
1496309581,0,1
1496323982,0,1
1496331181,2,0
1496334781,1,0
1496338381,0,1
1496341981,1,0
1496347227,0,1
1496352781,1,0
1496356381,0,2
1496359982,0,1
1496367181,1,2
1496377981,0,2
1496381581,1,0
1496385181,2,0
1496388782,1,0
1496392381,1,0
1496403181,0,1
1496406781,1,1
1496413981,1,3
1496421181,2,0
1496424781,0,2
1496428381,1,0
1496439181,2,0
1496446381,0,1
1496449981,2,0
1496467981,0,2
1496471581,1,1
1496478782,0,1
1496489581,0,1
1496493181,0,1
1496496781,0,2
1496503981,1,0
1496511181,0,1
1496518381,1,0
1496532781,1,0
1496536381,1,0
1496539981,1,0
1496557981,1,0
1496572381,0,1
1496575982,0,1
1496583181,0,1
1496604781,1,0
1496622781,1,1
1496680381,0,1
1496701981,1,0
1496709181,1,1
1496716381,0,1
1496730781,1,0
1496734381,1,0
1496737981,0,1
1496741581,0,1
1496748782,1,0
1496755981,1,0
1496763181,0,1
1496766781,0,1
1496770382,2,0
1496773981,1,0
1496777582,2,0
1496781181,1,0
1496788381,1,0
1496791981,0,1
1496802781,1,0
1496809982,0,1
1496824382,0,1
1496827981,0,1
1496831581,0,1
1496842381,0,2
1496845982,1,0
1496853181,1,0
1496856781,2,1
1496867581,0,2
1496874781,1,0
1496889182,0,2
1496892781,0,1
1496907181,1,1
1496910781,1,1
1496914381,1,0
1496932381,1,0
1496943181,1,0
1496946781,0,1
1496961181,0,2
1496968381,0,1
1496975581,0,1
1496989981,0,2
1497018781,1,0
1497025981,0,2
1497029581,1,2
1497040381,0,2
1497047581,0,1
1497069182,0,1
1497072781,2,0
1497076381,1,0
1497079981,0,1
1497105181,1,0
1497115981,0,1
1497130381,0,1
1497141182,0,1
1497162781,1,0
1497166381,0,1
1497169981,1,0
1497173581,1,0
1497177181,1,0
1497191581,0,1
1497198781,2,0
1497202381,1,0
1497220381,2,0
1497223981,0,2
1497234781,1,1
1497252781,0,1
1497256382,0,2
1497267181,0,1
1497285181,1,0
1497288781,0,2
1497295981,0,1
1497306781,0,1
1497317581,1,1
1497321181,0,1
1497328381,2,0
1497335581,0,1
1497339181,2,0
1497346382,0,1
1497349981,0,2
1497353581,0,1
1497364381,0,2
1497371581,1,1
1497378781,0,1
1497382382,0,1
1497396781,0,1
1497403981,1,1
1497414781,0,1
1497421981,0,2
1497425582,2,1
1497436381,1,1
1497443581,1,0
1497457981,0,2
1497468782,0,1
1497475981,0,2
1497508381,1,0
1497511981,1,0
1497519181,0,1
1497522781,0,1
1497526381,1,0
1497529981,2,0
1497533581,1,0
1497544381,1,1
1497547981,1,0
1497558781,2,1
1497562382,0,1
1497573181,1,0
1497587582,1,1
1497598381,1,0
1497612781,1,0
1497630781,1,0
1497634381,1,2
1497637981,1,1
1497645181,0,1
1497652381,2,0
1497677581,1,0
1497681181,1,0
1497688381,2,0
1497699181,0,2
1497713581,2,0
1497724381,1,0
1497731581,1,0
1497745981,1,0
1497749581,0,2
1497763982,0,1
1497781982,2,0
1497785581,0,3
1497792781,0,1
1497803581,1,1
1497807181,0,1
1497810781,0,1
1497817982,0,1
1497832381,0,1
1497839581,1,0
1497846781,0,1
1497850381,1,0
1497868381,0,1
1497886381,0,1
1497889981,1,0
1497904381,1,1
1497907982,0,1
1497922381,0,1
1497933181,1,0
1497940381,0,1
1497961981,1,0
1497965581,1,0
1497969181,1,0
1497983581,1,0
1498005182,1,0
1498008781,0,1
1498012381,0,1
1498030382,1,1
1498033981,1,0
1498037581,0,2
1498041181,1,1
1498048381,2,0
1498084381,0,1
1498091582,1,0
1498102381,1,1
1498113181,1,0
1498120381,0,1
1498127581,0,1
1498134781,1,0
1498152781,2,0
1498159981,1,0
1498163581,0,1
1498170781,1,1
1498177981,2,0
1498181581,1,0
1498188782,1,0
1498195982,0,2
1498199581,1,1
1498206781,2,0
1498210381,2,0
1498217581,1,0
1498221181,2,0
1498224781,1,0
1498228381,2,0
1498231981,2,1
1498235581,1,0
1498242781,1,0
1498246381,1,1
1498253581,0,1
1498257181,2,0
1498267981,1,0
1498271581,1,0
1498278781,1,0
1498289581,0,2
1498293182,1,0
1498296781,0,1
1498307581,1,1
1498314781,1,0
1498318381,1,0
1498321981,1,1
1498325582,1,0
1498329181,1,1
1498336381,1,1
1498350781,2,0
1498361581,0,1
1498365181,1,0
1498368782,3,0
1498379582,1,0
1498383181,1,0
1498386781,1,0
1498393982,1,0
1498401181,1,0
1498411981,1,0
1498422782,2,0
1498437181,1,0
1498440781,1,0
1498447981,1,0
1498473182,0,1
1498480381,2,0
1498483981,0,1
1498491181,1,0
1498510229,0,2
1498534381,1,0
1498537981,0,1
1498541581,2,1
1498545181,1,0
1498566781,1,0
1498570381,2,0
1498573981,0,2
1498577581,0,1
1498588381,1,1
1498591981,1,0
1498609981,0,2
1498613581,1,0
1498620781,1,0
1498624381,0,1
1498631581,0,2
1498638781,1,0
1498642381,1,2
1498649581,1,0
1498653181,1,2
1498660381,1,1
1498663981,1,1
1498667581,1,0
1498681981,0,1
1498699981,1,1
1498717981,0,1
1498728781,0,1
1498739581,0,2
1498743182,1,0
